INDEX,NAME,루테인(mg),비타민A(ug),비타민D(ug),비타민E(mg),비타민K(ug),비타민C(mg),비타민B2(mg),아연(mg),셀렌(ug),철(mg),마그네슘(mg),EPA(mg),프로바이오틱스(CFU),실리마린(mg),나이아신(mg),올리고당(g),칼슘(mg),비타민B6(mg),베타카로틴(mg),판토텐산(mg),비오틴(ug),망간(mg),크롬(ug),엽산(ug),구리(mg),몰리브덴(ug)
0,우유,0,0,0,0,0,0.0430517711,0.487951807,0.274390244,0.313606474,0.02787068,0.149253731,0,0,0,0.143142477,0,0.590386625,0,0,0.103917148,0.137530562,0,0,0.00783085356,0,0.0437700613
1,요구르트,0,0,0,0,0,0.0250681199,0.192771084,0.0838414634,0.0720789074,0.011148272,0.0597014925,0,0,0,0.00951112802,0,0.235109718,0,0,0,0,0.000258870634,0,0.101801096,0.00264550265,0.0518987869
2,치즈,0,0,0,0.0113341969,0,0.00326975477,0.984939759,2.87347561,1.266439049,0.016722408,0.52238806,0,0,0,0.115084649,0,5,0,0.0212112346,0.0267718754,0,0.00258870634,0,0.0978856695,0.044973545,0.168827379
3,계란흰자,0,0,0,0,0,0,0.569277108,0.0228658537,1.388467375,0.0390189521,0.179104478,0,0,0,0.0204489252,0,0.0470219436,0.0155359917,0,0.0295899676,0.100244499,0,0,0,0,0.0950435616
4,브로콜리,0,0,0,0.0825777202,0.705792247,1.589645777,0.430722892,0.579268293,0.0493171472,0.445930881,0.343283582,0,0,0,0.486969755,0,0.00417972832,0,0.0965476887,0.114132732,0,0.0262322242,0,0.168363352,0.0661375661,0.172995956
5,양파,0,0,0,0,0,0.320435967,0.0331325301,0.114329268,0.0739757208,0.11148272,0.119402985,0,0,0,0.0470800837,0,0.0078369906,0,0.000731421884,0.037339721,0.0348410758,0.0151870772,0,0.0430696946,0.0185185185,0.0110467298
6,마늘,0,0,0,0.0161917098,0,0.460490463,0.484939759,0.50304878,0.218765807,0.434782609,0.358208955,0,0,0,0.236827088,0,0.0626959248,0,0,0.381851487,0.234718826,0.021658843,0,0.360219264,0.0925925926,0.224894743
7,캐슈넛,0,0,0,0.534326425,0.108309673,0,0.542168675,4.115853659,1.707132018,2.675585284,3.582089552,0,0,0,0.428000761,0,0.198537095,0.932159503,0,0.464985205,1.161369193,0,0,0.246671887,5,0.62528659
8,아몬드,0,0,0,0.720531088,0,0,4.656626506,3.056402439,0,2.65328874,5,0,0,0,1.801883203,0,1.922675026,0,0.00621708602,0.170846837,1.55195599,0.212187629,0,0.289741582,3.248677249,0.556505065
9,땅콩,0,0,0,1.502590674,0,0,0.638554217,2.576219512,0.289580172,1.711259755,2.71641791,0,0,0,5,0,0.350052247,0,0.00146284377,0.301888122,0,0.137546597,0,0.348472984,1.978835979,4.629413481
10,검은콩,0,0,0,1.544689119,0.112212689,0.249046322,2.09939759,3.422256098,0.346484573,4.280936455,3.119402985,0,0,0,0.626783337,0,0.825496343,0,0.0365710942,0.316683106,0,0.232293249,0,1.898981989,3.034391534,0.79202968
11,시금치,0,0,0,0,0,3.269754768,1.024096386,0,0,1.449275362,0,0,0,0,0.2377782,0,0.208986416,0,1.051784669,0,0,0,0,0,0,0
12,계란 노른자,0,0,0,0.441224093,0.13747592,0,1.162650602,3.338414634,4.743930197,4.180602007,0.179104478,0,0,0,0.104622408,0,0.820271682,0.95546349,0.00146284377,1.737353811,4.26405868,0.0146693359,0,0.896632733,0.404761905,0.34828463
13,옥수수,0,0,0,0.0833873057,0,0.189100817,0.289156627,0.922256098,0.0727111786,0.624303233,0.955223881,0,0,0,2.850485068,0,0.026123302,0.10616261,0.00365710942,0.0394532901,0.0378973105,0.0403838189,0,0.250587314,0.314814815,0.27679353
14,케일,0,0,0,0.0453367876,0,0,0.536144578,0.419207317,0.0986342944,0.451505017,0.925373134,0,0,0,0.16787141,0,1.71368861,0,1.150160913,0,1.347188264,0.027353997,0,0.411119812,0.0767195767,0.578806953
15,토마토,0,0,0,0.0275259067,0,0.771662125,0.111445783,0.114329268,0.0164390491,0.105908584,0.149253731,0,0,0,0.147898041,0,0.0470219436,0,0.138970158,0.104973933,0.144254279,0.00621289521,0,0.0587314017,0,0.0293884697
16,아보카도,0,0,0,0.291450777,0,0.817438692,0.63253012,0.533536585,0.0632271118,0.390189521,0.492537313,0,0,0,0.951112802,0,0.0470219436,0.828586225,0.0193826799,0.581231506,0.32396088,0.015532238,0,0.32889585,0.634920635,0.0416857726
